#DMe S logL Z DMi DMh DMs dnu thres
1.666484969377101379e+03 1.297299370575858202e+00 4.447824208855730177e+01 1.737395807959040361e+00 1.535815698202149406e+03 3.120158778280295451e+02 4.567763731534726190e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.727300232213715390e+02 1.946246743450587857e+01 4.429532275665685859e+01 4.207748125978103548e-01 3.651656007045700107e+02 1.255365812935217775e+02 2.728824094997860783e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.281871758181834593e+03 1.238193066069925408e+00 4.430314754825517554e+01 1.331131024460592505e+00 1.189691781308701820e+03 1.873205652031150237e+02 2.756303871990468224e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.070282051608847723e+03 3.199371020395473941e+00 4.426220061519445892e+01 8.531561633075689377e-01 7.616919130518660950e+02 5.239517163552806096e+02 4.791400084752672939e+01 1.000000000000000000e+03 1.000000000000000000e+00
9.068496937515287755e+02 2.962030043430412540e+00 4.424616230271789874e+01 9.659571638952395567e-01 8.643842529342006173e+02 5.044849303572723898e+01 3.303674455706836000e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.523088530409479517e+02 5.198822763985363693e+00 4.435901950097385793e+01 8.341927210971552542e-01 7.443379167620051930e+02 1.375095618747351445e+01 8.692771156926348830e-01 1.000000000000000000e+03 1.000000000000000000e+00
1.149103215361187495e+03 1.057270838188846707e+00 4.428310998837142876e+01 1.264054995228533596e+00 1.130901437588837325e+03 1.593356270933747432e+01 2.527626317819151680e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.023827043851080930e+03 2.639954692841046668e+00 4.441558139528750360e+01 1.057025933317768063e+00 9.466384911747542219e+02 1.165807428284330314e+02 4.219811178203566726e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.333773339305815398e+03 1.798501387453998568e+00 4.462118396641334073e+01 1.439291373856159684e+00 1.283554921828179204e+03 7.484504603732727901e+01 4.765230652457794491e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.620953549721569971e+02 2.310930143020123229e+00 4.406874955553810480e+01 7.852476077970353963e-01 6.995100486783064753e+02 6.677513281422072566e+01 4.495513553012066410e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.836744969611694387e+02 2.016956952553080828e+00 4.396023057631938258e+01 7.238681896800430726e-01 6.431565032604311227e+02 2.954805069668333317e+01 4.029962975367572398e+01 1.000000000000000000e+03 1.000000000000000000e+00
