#DMe S logL Z DMi DMh DMs dnu thres
4.077708069569436589e+02 8.931066465494360784e+00 4.394240109373107828e+01 4.212354456370051015e-01 3.655839863846703111e+02 5.173025123311334994e+01 8.227153502929922979e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.326546791551396382e+03 1.203920823873001700e+00 4.421279425589402479e+01 1.386090099623093597e+00 1.237627019803280291e+03 1.873453914893225658e+02 2.482519553960255720e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.112308951084437922e+03 4.957773938241791356e+00 4.445093736244928095e+01 9.465622718367747712e-01 8.467685426169313132e+02 4.872730674849254910e+02 2.961787328604931346e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.162441636037047829e+03 1.450325774988486138e+00 4.432286832049575764e+01 1.256726670113702760e+00 1.124436249694141907e+03 7.734698301638458418e+01 8.420785951626324817e+00 1.000000000000000000e+03 1.000000000000000000e+00
7.007485928206227754e+02 5.044252496813731668e+00 4.435890356183676886e+01 7.578752071237707666e-01 6.743900076751709776e+02 4.094888024479664068e+01 5.386223077253982083e+00 1.000000000000000000e+03 1.000000000000000000e+00
4.441047872720487817e+02 1.861302262887869219e+01 4.390789458525748046e+01 3.227463440910721681e-01 2.766152458946698971e+02 1.822258864761332120e+02 3.932029205428506913e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.721764611972503189e+03 2.949279670343306403e+00 4.466671487785428951e+01 1.405412260792700208e+00 1.254307566235670947e+03 1.123213918439324516e+03 1.212990769985883288e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.216062678581752607e+03 2.252048630874264656e+00 4.444687602385352676e+01 1.278169267996299263e+00 1.143353317658393053e+03 1.261544130809627404e+02 3.948981847028578329e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.284717408563055415e+03 1.490610160870657674e+00 4.434553165024885857e+01 1.369863975008880796e+00 1.223514607248928769e+03 1.266533245923975812e+02 1.838898941157745526e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.472913971147658685e+03 1.008096498651363415e+00 4.435198468708598085e+01 1.631645364239832086e+00 1.447405015754810165e+03 2.595844441909904532e+01 4.117207978709119942e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.274982100812695762e+02 4.837467535513553685e+00 4.414345971267515267e+01 6.641164193266011484e-01 5.882185734918290336e+02 2.885220487085386765e+01 3.651368332281604978e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.871939378055587895e+02 4.424493036138309776e+01 4.461309975154124885e+01 3.748432363293877634e-01 3.235198943736918409e+02 4.879347603766968859e+02 1.206003846416539105e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.491200683063328825e+03 2.073982875992659292e+00 4.432074417952457424e+01 1.196449640816804605e+00 1.071212164014285690e+03 9.036126029624404055e+02 1.887102885001193542e+01 1.000000000000000000e+03 1.000000000000000000e+00
