#DMe S logL Z DMi DMh DMs dnu thres
2.431265475613338083e+02 1.435253075174561133e+00 4.236331195330816968e+01 2.169314858410911206e-01 1.828154702982248807e+02 4.870789642590964519e+01 2.468655244056236597e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.138627485131180492e+02 1.102015789372170929e+00 4.294448729527648823e+01 3.548012558721205245e-01 3.054351495894518393e+02 5.264941158138633455e+02 2.684410814075442886e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.761780659134181519e+02 2.745285468540983764e+00 4.319547796421858266e+01 2.952753821075898566e-01 2.520618266104208374e+02 1.308359022172481048e+02 2.992880707169878107e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.083922436427654930e+02 1.136545787730786738e+00 4.291385762703251316e+01 3.320319579651556108e-01 2.849534128940106825e+02 1.508699300824155110e+01 1.613427860643625422e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.204399934801910490e+02 2.072382776730311349e+00 4.306895198056360385e+01 3.101904480842071488e-01 2.653815761243984639e+02 6.594246388077266374e+01 6.194548625420526200e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.946723337292364135e+02 1.329714461490571376e+00 4.238405825800474247e+01 1.967594466284311450e-01 1.652088562856301053e+02 2.565582293740376585e+01 9.604872023755801180e+00 1.000000000000000000e+03 1.000000000000000000e+00
3.865197964344243360e+02 1.068323816329003417e+00 4.262854905293614394e+01 3.140527846007786783e-01 2.688371808016833597e+02 1.384587384679576303e+02 1.618243030334879506e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.213716848572930758e+02 1.208757851117640447e+00 4.274866780937034605e+01 3.002028609219009603e-01 2.564523291742682432e+02 3.626766544336659592e+01 4.814066654490880381e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.961731137415955573e+02 3.807830242810591237e+00 4.285931755056896719e+01 1.839528425560182923e-01 1.540842250053327405e+02 1.261050372221380300e+01 3.722075573710854002e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.820277834389885641e+02 3.605187475788024010e+00 4.287135799179700513e+01 1.917107949864605976e-01 1.608202593332988215e+02 2.289254420455995742e+01 2.380691207126084397e+00 1.000000000000000000e+03 1.000000000000000000e+00
5.926704960199407424e+02 2.668688663663169702e+00 4.323924880733634524e+01 3.877038826188047294e-01 3.351605406899250283e+02 3.545134027383023749e+02 2.834162086155389559e+00 1.000000000000000000e+03 1.000000000000000000e+00
3.531553389484031413e+02 2.402488330091969715e+00 4.261700477457707592e+01 2.313668520004362739e-01 1.954736404260869449e+02 1.580846731807835113e+02 3.607934354672283916e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.981483630239956710e+02 2.249701707391774885e+00 4.343652707875617125e+01 5.209752328291553658e-01 4.566834808143590294e+02 5.869988074352727381e+01 4.367178129508325846e+00 1.000000000000000000e+03 1.000000000000000000e+00
2.624965927559098304e+02 1.949745857977550179e+00 4.268699837651875839e+01 2.321265586133359760e-01 1.961421393782665632e+02 5.041155434077949593e+01 3.134552994808517568e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.221609835507902631e+02 1.231259410964730128e+00 4.313828193395910660e+01 4.429603924802878456e-01 3.853638310268468672e+02 4.049875429316872300e+01 1.259807935493768483e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.198419372878692002e+02 1.091713223308540703e+00 4.287629732192376508e+01 3.836249519355634519e-01 3.314685497616685552e+02 9.583633480335396371e+01 2.643928926496835174e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.826878255231232515e+02 4.301226345928948369e+00 4.263011796330862069e+01 1.718214120934427047e-01 1.435864402224046898e+02 2.459099796236187956e+02 3.427414333296754023e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.977844101993928234e+02 1.931442749943362402e+00 4.275771102882482211e+01 2.795539482413127441e-01 2.380621029387703800e+02 1.965497604459381478e+02 7.823548431603366993e+00 1.000000000000000000e+03 1.000000000000000000e+00
5.144267175532984311e+02 1.974501467177041114e+00 4.348172039638125597e+01 5.026892216879903508e-01 4.399339213765433669e+02 1.111261026428443159e+02 8.134192653658389727e-01 1.000000000000000000e+03 1.000000000000000000e+00
7.159938072215314833e+02 3.352889077537427376e+00 4.279355786414834029e+01 1.938385093198592424e-01 1.626697988343724717e+02 6.298690489705774098e+02 3.071046037323765177e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.847927234586247209e+02 4.839251415483187380e+00 4.355651068065679965e+01 4.139536436596853441e-01 3.589700411974926055e+02 1.862419723206491184e+01 1.788787844012915684e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.861749369422709606e+02 1.653674711653734475e+00 4.225408135567636236e+01 1.588274490077032919e-01 1.323887780546895385e+02 3.274665973446163036e+01 2.958221756115736056e+01 1.000000000000000000e+03 1.000000000000000000e+00
