#DMe S logL Z DMi DMh DMs dnu thres
1.292353333231434590e+03 4.941526679698975855e+00 4.480864452668416220e+01 1.404905407798941130e+00 1.253870007267883466e+03 8.764457130749912039e+01 4.904187412334443330e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.229911806745778449e+03 4.296560318194422301e+00 4.476347256786996809e+01 1.291382980095759692e+00 1.154982543644503721e+03 1.350939413475977915e+02 3.659769683378058858e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.303457569976148079e+03 1.540233386408589533e+00 4.434255244210456937e+01 1.421246060747891837e+00 1.267976660134401300e+03 5.062047584068142925e+01 3.528753734539921538e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.190269565908987715e+03 1.514345740814877495e+00 4.413914636836317840e+01 1.184720814138570777e+00 1.060770889160437719e+03 2.683494959939774276e+02 1.456895850198207754e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.596413656893795405e+02 2.371470712861113554e+02 4.476993446131136523e+01 2.535282127939787467e-01 2.150040204477304542e+02 5.052214876257949783e+01 5.432022842052708356e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.086200482740008056e+03 2.729152648507752410e+00 4.426828495310318345e+01 1.026706937680720522e+00 9.193126157138158305e+02 3.018867656860895750e+02 3.634603223063165700e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.769064575417518427e+03 1.155148831964607714e+00 4.456307237060735815e+01 1.919694748701278986e+00 1.685451089512546559e+03 2.178990485955368683e+02 2.622680712181809071e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.211797376276505474e+03 5.923364985839086216e+00 4.472398740023958652e+01 1.060724501576439938e+00 9.499569607804253337e+02 5.351732752161948383e+02 4.407684499532848577e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.700954808107991539e+03 1.446493901346963318e+00 4.434659909853726845e+01 1.470971619422019039e+00 1.310904026439835206e+03 9.205518376903480657e+02 4.325257394504019715e+01 1.000000000000000000e+03 1.000000000000000000e+00
8.981137359327234435e+02 1.898377931392175588e+00 4.408749548527437412e+01 9.573707629738760216e-01 8.565855216578047475e+02 6.986172795212613096e+01 1.142438450811409467e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.007634781183350810e+03 1.335610815456663047e+00 4.402470383820828204e+01 1.093085701534457055e+00 9.789924282784053275e+02 4.732274894887421368e+01 1.262815037477120228e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.006221535536735814e+03 2.411822177407653367e+00 4.439900795645993270e+01 1.079326979772269102e+00 9.666476784218477860e+02 5.698605456499237221e+01 2.530093422764704769e+01 1.000000000000000000e+03 1.000000000000000000e+00
9.822760042396080280e+02 2.359726899983190851e+00 4.428774758983865212e+01 1.082936362196446289e+00 9.698861277439044670e+02 2.285741927836564003e+01 2.949904997658331141e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.267716263018523932e+03 2.145071373877612153e+00 4.462571206833577975e+01 1.325045439055795971e+00 1.184377657468995722e+03 1.517940061653900159e+02 4.197203856481065287e+01 1.000000000000000000e+03 1.000000000000000000e+00
8.568731849724449603e+02 5.319711504552952164e+00 4.461298825246883837e+01 9.279650018114128374e-01 8.298772848325999121e+02 1.781599336166402381e+01 3.423115730035312509e+01 1.000000000000000000e+03 1.000000000000000000e+00
8.955619570282392488e+02 2.128546297974888546e+01 4.456050279762173005e+01 5.589606316469738490e-01 4.915378843475282906e+02 6.222626609410373248e+02 7.594962605866683703e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.037620836817195823e+03 1.322523292226561953e+00 4.428150495936412057e+01 1.147618222224183526e+00 1.027741297147862042e+03 1.383447455332233567e+01 7.383004867725362352e+00 1.000000000000000000e+03 1.000000000000000000e+00
9.537922516301525775e+02 8.703219576402926094e+00 4.476406726562628791e+01 1.050580275108921935e+00 9.408552476711499821e+02 1.736530533266597942e+01 9.163059804670698583e+00 1.000000000000000000e+03 1.000000000000000000e+00
